origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"Cincinnati, OH","Pittsburgh, PA",1534,5660,3.69,155,86,30536,Dry Van,2026-05-20,2026-05-25,JB Hunt,800-452-4868
"Austin, TX","St Louis, MO",812,2736,3.37,189,164,18956,Dry Van,2026-06-18,2026-06-19,Uber Freight,844-822-8237
"Tulsa, OK","Fresno, CA",2532,8786,3.47,110,45,11095,Step Deck,2026-06-01,2026-06-04,Landstar,800-872-9400
"St Louis, MO","Rochester, NY",1226,2194,1.79,33,139,15986,Reefer,2026-06-11,2026-06-16,Echo Global Logistics,800-354-7993
"Cincinnati, OH","Oklahoma City, OK",1179,3112,2.64,97,69,37238,Dry Van,2026-06-04,2026-06-09,Landstar,800-872-9400
"Dallas, TX","New Orleans, LA",2136,5788,2.71,149,103,33666,Dry Van,2026-05-24,2026-05-28,Echo Global Logistics,800-354-7993
"Raleigh, NC","Fort Worth, TX",550,1254,2.28,172,102,43056,Dry Van,2026-06-09,2026-06-14,Coyote Logistics,877-626-9683
"Spokane, WA","Columbus, OH",1750,3657,2.09,62,137,13812,Step Deck,2026-05-20,2026-05-25,Schneider,800-558-6767
"Raleigh, NC","Los Angeles, CA",800,2448,3.06,83,159,14934,Step Deck,2026-06-07,2026-06-10,Coyote Logistics,877-626-9683
"Plano, TX","Savannah, GA",1067,3329,3.12,151,62,13586,Reefer,2026-05-25,2026-05-26,TQL,800-580-3101
"Springfield, IL","Seattle, WA",582,2165,3.72,160,5,32179,Flatbed,2026-06-11,2026-06-15,Echo Global Logistics,800-354-7993
"Atlanta, GA","Orlando, FL",2228,3631,1.63,172,169,46893,Dry Van,2026-06-01,2026-06-02,Coyote Logistics,877-626-9683
"Detroit, MI","Fargo, ND",187,506,2.71,15,76,30761,Dry Van,2026-06-18,2026-06-19,JB Hunt,800-452-4868
"Pittsburgh, PA","Fort Wayne, IN",1313,2927,2.23,156,33,8891,Flatbed,2026-06-05,2026-06-10,Coyote Logistics,877-626-9683
"Arlington, TX","Raleigh, NC",1711,5680,3.32,82,25,27658,Reefer,2026-05-29,2026-05-31,TQL,800-580-3101
"Lubbock, TX","Austin, TX",1208,3116,2.58,144,49,13438,Flatbed,2026-05-24,2026-05-28,Schneider,800-558-6767
"Tacoma, WA","Lubbock, TX",691,1402,2.03,44,75,45827,Flatbed,2026-06-12,2026-06-17,Schneider,800-558-6767
"Plano, TX","Cleveland, OH",1367,2214,1.62,102,46,28190,Flatbed,2026-06-02,2026-06-03,Uber Freight,844-822-8237
"Chicago, IL","Tulsa, OK",1702,5259,3.09,12,12,38152,Step Deck,2026-05-23,2026-05-26,TQL,800-580-3101
"Miami, FL","San Antonio, TX",1651,5894,3.57,102,92,39281,Reefer,2026-06-02,2026-06-06,RXO,800-866-0190
"Greensboro, NC","Fargo, ND",540,1976,3.66,44,162,43903,Flatbed,2026-06-18,2026-06-19,TQL,800-580-3101
"Seattle, WA","Charlotte, NC",1941,3513,1.81,97,154,37823,Flatbed,2026-06-13,2026-06-15,Echo Global Logistics,800-354-7993
"Charlotte, NC","New York, NY",2061,7563,3.67,127,108,24178,Flatbed,2026-05-25,2026-05-29,Uber Freight,844-822-8237
"Fresno, CA","Oklahoma City, OK",1672,2708,1.62,160,85,16558,Step Deck,2026-05-30,2026-06-03,C.H. Robinson,800-323-7587
"Savannah, GA","Indianapolis, IN",250,932,3.73,102,28,18786,Flatbed,2026-05-30,2026-06-01,RXO,800-866-0190
"Little Rock, AR","Philadelphia, PA",837,2736,3.27,102,148,11840,Reefer,2026-05-27,2026-05-29,RXO,800-866-0190
"Raleigh, NC","Dallas, TX",800,2960,3.7,124,114,8295,Step Deck,2026-06-08,2026-06-10,Coyote Logistics,877-626-9683
"Tulsa, OK","Kansas City, MO",357,885,2.48,43,43,41522,Step Deck,2026-06-08,2026-06-09,C.H. Robinson,800-323-7587
"Chicago, IL","Reno, NV",1630,5264,3.23,40,41,41841,Reefer,2026-05-23,2026-05-26,JB Hunt,800-452-4868
"Fort Lauderdale, FL","Cleveland, OH",310,502,1.62,109,50,30181,Reefer,2026-05-29,2026-06-02,Landstar,800-872-9400
"San Diego, CA","Tacoma, WA",2100,5355,2.55,209,147,22744,Reefer,2026-05-30,2026-06-02,XPO Logistics,800-755-2728
"Charlotte, NC","New York, NY",1405,4791,3.41,98,32,28460,Step Deck,2026-05-29,2026-05-31,Coyote Logistics,877-626-9683
"Fargo, ND","Orlando, FL",1567,2648,1.69,101,108,29126,Flatbed,2026-06-05,2026-06-09,Echo Global Logistics,800-354-7993
"Indianapolis, IN","Charlotte, NC",298,1114,3.74,161,69,22749,Step Deck,2026-05-20,2026-05-24,RXO,800-866-0190
"New York, NY","Greensboro, NC",1732,6183,3.57,177,15,32127,Step Deck,2026-06-13,2026-06-14,JB Hunt,800-452-4868
"Rochester, NY","Philadelphia, PA",1576,4176,2.65,54,9,43937,Dry Van,2026-06-04,2026-06-06,C.H. Robinson,800-323-7587
"Little Rock, AR","Tucson, AZ",1160,3074,2.65,81,83,35611,Flatbed,2026-05-27,2026-05-30,Coyote Logistics,877-626-9683
"Columbus, OH","Cleveland, OH",1659,5856,3.53,100,128,20941,Flatbed,2026-05-22,2026-05-26,Uber Freight,844-822-8237
"Kansas City, MO","Columbus, OH",299,717,2.4,62,25,17546,Reefer,2026-06-10,2026-06-11,C.H. Robinson,800-323-7587
"Plano, TX","Arlington, TX",1460,2525,1.73,2,114,38414,Step Deck,2026-06-03,2026-06-06,Uber Freight,844-822-8237
"Boise, ID","Seattle, WA",477,1216,2.55,219,13,11203,Reefer,2026-05-23,2026-05-25,XPO Logistics,800-755-2728
"Phoenix, AZ","Columbus, OH",632,1282,2.03,89,77,29615,Reefer,2026-05-25,2026-05-28,Echo Global Logistics,800-354-7993
"Los Angeles, CA","Detroit, MI",444,999,2.25,98,115,22355,Step Deck,2026-06-10,2026-06-13,Coyote Logistics,877-626-9683
"Fort Wayne, IN","Springfield, IL",1522,4961,3.26,62,40,39064,Flatbed,2026-05-26,2026-05-29,Echo Global Logistics,800-354-7993
"Irving, TX","Greensboro, NC",330,531,1.61,52,112,30237,Reefer,2026-06-01,2026-06-06,Landstar,800-872-9400
"Denver, CO","Fresno, CA",697,2174,3.12,165,119,36075,Flatbed,2026-06-12,2026-06-17,Echo Global Logistics,800-354-7993
"New York, NY","Reno, NV",585,1333,2.28,20,13,17347,Step Deck,2026-05-20,2026-05-23,Uber Freight,844-822-8237
"Grand Rapids, MI","Plano, TX",1971,5617,2.85,181,149,38644,Step Deck,2026-06-12,2026-06-16,TQL,800-580-3101
"Denver, CO","Lubbock, TX",1958,5854,2.99,210,8,25186,Step Deck,2026-05-25,2026-05-26,Echo Global Logistics,800-354-7993
"Atlanta, GA","Fort Lauderdale, FL",436,1120,2.57,10,78,38982,Reefer,2026-06-02,2026-06-04,Uber Freight,844-822-8237
"Savannah, GA","Reno, NV",2542,4956,1.95,97,56,44291,Reefer,2026-06-07,2026-06-10,C.H. Robinson,800-323-7587
"Knoxville, TN","Jacksonville, FL",2305,4448,1.93,8,16,15145,Flatbed,2026-06-15,2026-06-16,TQL,800-580-3101
"Miami, FL","Nashville, TN",1492,4371,2.93,145,140,12063,Reefer,2026-05-21,2026-05-26,Uber Freight,844-822-8237
"Fort Lauderdale, FL","Knoxville, TN",281,921,3.28,74,123,10766,Step Deck,2026-06-14,2026-06-16,Uber Freight,844-822-8237
"Sacramento, CA","Rockford, IL",914,1672,1.83,198,58,36164,Step Deck,2026-05-24,2026-05-27,C.H. Robinson,800-323-7587
"Tucson, AZ","Chicago, IL",555,1515,2.73,42,29,46828,Reefer,2026-05-30,2026-06-03,Coyote Logistics,877-626-9683
"Detroit, MI","Fort Lauderdale, FL",2137,3974,1.86,220,98,14150,Flatbed,2026-05-19,2026-05-23,Uber Freight,844-822-8237
"Salt Lake City, UT","Columbus, OH",1817,4088,2.25,192,163,42106,Dry Van,2026-06-08,2026-06-11,Coyote Logistics,877-626-9683
"Knoxville, TN","New Orleans, LA",1932,5119,2.65,105,91,28122,Dry Van,2026-05-20,2026-05-23,JB Hunt,800-452-4868
"Phoenix, AZ","Jacksonville, FL",1634,3366,2.06,194,20,31011,Reefer,2026-06-08,2026-06-10,Schneider,800-558-6767
"Cleveland, OH","Phoenix, AZ",534,1559,2.92,82,157,24586,Dry Van,2026-06-05,2026-06-08,RXO,800-866-0190
"Springfield, IL","Tacoma, WA",1055,3070,2.91,80,92,28081,Flatbed,2026-06-14,2026-06-19,C.H. Robinson,800-323-7587
"Chicago, IL","Rockford, IL",2074,3774,1.82,159,51,45028,Dry Van,2026-06-12,2026-06-17,Coyote Logistics,877-626-9683
"Irving, TX","Arlington, TX",570,1692,2.97,117,155,16132,Dry Van,2026-06-04,2026-06-05,Landstar,800-872-9400
"Raleigh, NC","Fresno, CA",1942,6369,3.28,186,152,36354,Dry Van,2026-06-05,2026-06-07,Echo Global Logistics,800-354-7993
"Miami, FL","Knoxville, TN",1256,3893,3.1,166,116,21541,Flatbed,2026-05-23,2026-05-26,Schneider,800-558-6767
"Phoenix, AZ","Fort Wayne, IN",1986,4726,2.38,115,27,23092,Reefer,2026-05-30,2026-06-02,RXO,800-866-0190
"Spokane, WA","Tacoma, WA",338,882,2.61,125,47,26128,Reefer,2026-06-05,2026-06-06,TQL,800-580-3101
"Detroit, MI","Cleveland, OH",408,1138,2.79,205,154,21931,Step Deck,2026-05-30,2026-06-01,RXO,800-866-0190
"Birmingham, AL","Orlando, FL",190,695,3.66,197,166,36106,Step Deck,2026-06-02,2026-06-07,Landstar,800-872-9400
"Indianapolis, IN","St Louis, MO",621,2260,3.64,23,117,12633,Reefer,2026-05-30,2026-06-01,Uber Freight,844-822-8237
"San Antonio, TX","Salt Lake City, UT",2297,5581,2.43,43,126,32424,Step Deck,2026-05-27,2026-05-29,Landstar,800-872-9400
"Fresno, CA","Memphis, TN",1637,3110,1.9,202,4,21274,Flatbed,2026-06-17,2026-06-18,Schneider,800-558-6767
"Memphis, TN","Fargo, ND",2449,6563,2.68,99,141,19507,Flatbed,2026-05-31,2026-06-02,Schneider,800-558-6767
"Grand Rapids, MI","Seattle, WA",2510,9312,3.71,38,16,39675,Dry Van,2026-05-27,2026-06-01,TQL,800-580-3101
"Rochester, NY","Oklahoma City, OK",2371,4362,1.84,114,133,15289,Reefer,2026-05-19,2026-05-23,Schneider,800-558-6767
"Las Vegas, NV","New Orleans, LA",2210,5635,2.55,148,113,37838,Reefer,2026-05-28,2026-05-30,Uber Freight,844-822-8237
"Dallas, TX","Tampa, FL",1385,3199,2.31,122,57,19029,Reefer,2026-06-17,2026-06-18,Uber Freight,844-822-8237
"Fargo, ND","Knoxville, TN",1497,5044,3.37,28,48,31519,Dry Van,2026-06-09,2026-06-13,Echo Global Logistics,800-354-7993
"Fort Lauderdale, FL","Fort Wayne, IN",862,1499,1.74,90,46,40377,Dry Van,2026-06-07,2026-06-10,TQL,800-580-3101
"Pittsburgh, PA","Raleigh, NC",2482,8413,3.39,113,1,47960,Dry Van,2026-06-10,2026-06-14,XPO Logistics,800-755-2728
"Nashville, TN","Arlington, TX",1134,2721,2.4,145,55,23663,Reefer,2026-05-22,2026-05-26,Landstar,800-872-9400
"Raleigh, NC","Amarillo, TX",2539,9343,3.68,86,28,32177,Flatbed,2026-06-07,2026-06-12,C.H. Robinson,800-323-7587
"Greensboro, NC","Miami, FL",1011,2557,2.53,15,5,32883,Reefer,2026-05-25,2026-05-27,C.H. Robinson,800-323-7587
"Arlington, TX","Raleigh, NC",1447,3921,2.71,214,13,17250,Flatbed,2026-05-23,2026-05-26,Uber Freight,844-822-8237
"Tacoma, WA","Irving, TX",870,3079,3.54,83,57,9143,Step Deck,2026-06-15,2026-06-19,Schneider,800-558-6767
"St Louis, MO","Houston, TX",1518,3051,2.01,85,46,15666,Flatbed,2026-06-16,2026-06-19,JB Hunt,800-452-4868
"Arlington, TX","Tacoma, WA",1423,2632,1.85,35,67,39310,Reefer,2026-05-26,2026-05-30,Echo Global Logistics,800-354-7993
"Tacoma, WA","Oklahoma City, OK",470,1198,2.55,102,74,33724,Flatbed,2026-05-22,2026-05-23,Uber Freight,844-822-8237
"Los Angeles, CA","New York, NY",1433,3783,2.64,0,107,21570,Dry Van,2026-06-11,2026-06-14,RXO,800-866-0190
"Memphis, TN","Fort Lauderdale, FL",704,1182,1.68,203,107,24313,Reefer,2026-06-16,2026-06-19,JB Hunt,800-452-4868
"Birmingham, AL","New York, NY",1113,2059,1.85,99,45,36157,Flatbed,2026-06-09,2026-06-14,C.H. Robinson,800-323-7587
"Miami, FL","Tulsa, OK",1185,2678,2.26,183,1,14175,Step Deck,2026-06-09,2026-06-14,JB Hunt,800-452-4868
"Arlington, TX","Greensboro, NC",638,1390,2.18,125,156,35471,Dry Van,2026-06-04,2026-06-05,Schneider,800-558-6767
"Charlotte, NC","Indianapolis, IN",2025,5325,2.63,158,54,37134,Step Deck,2026-06-17,2026-06-18,Uber Freight,844-822-8237
"Oklahoma City, OK","Indianapolis, IN",716,1167,1.63,162,111,10146,Step Deck,2026-05-21,2026-05-22,XPO Logistics,800-755-2728
"Tacoma, WA","Rockford, IL",1718,3058,1.78,45,135,24447,Step Deck,2026-06-19,2026-06-19,Uber Freight,844-822-8237
"San Diego, CA","Spokane, WA",1005,1698,1.69,183,128,18458,Flatbed,2026-06-18,2026-06-19,Schneider,800-558-6767
"Buffalo, NY","Dallas, TX",1604,2758,1.72,123,38,9379,Step Deck,2026-06-18,2026-06-19,XPO Logistics,800-755-2728
"Fort Wayne, IN","Raleigh, NC",1017,3549,3.49,193,103,35593,Step Deck,2026-05-23,2026-05-26,XPO Logistics,800-755-2728
"Cincinnati, OH","Boise, ID",1645,4244,2.58,115,136,32455,Flatbed,2026-05-29,2026-05-30,JB Hunt,800-452-4868
"New York, NY","Austin, TX",2052,5643,2.75,21,13,37072,Reefer,2026-06-05,2026-06-10,TQL,800-580-3101
"Plano, TX","San Diego, CA",1836,6040,3.29,187,167,21120,Step Deck,2026-06-14,2026-06-16,JB Hunt,800-452-4868
"Phoenix, AZ","Rochester, NY",2126,3507,1.65,82,80,15065,Step Deck,2026-06-06,2026-06-11,XPO Logistics,800-755-2728
"Las Vegas, NV","Tucson, AZ",1767,5831,3.3,131,59,9218,Reefer,2026-05-29,2026-06-02,Coyote Logistics,877-626-9683
"Arlington, TX","Tulsa, OK",1999,6656,3.33,39,120,28076,Reefer,2026-05-19,2026-05-23,XPO Logistics,800-755-2728
"Fargo, ND","Boise, ID",2058,6420,3.12,91,132,24972,Reefer,2026-06-06,2026-06-10,Landstar,800-872-9400
"Arlington, TX","Savannah, GA",1938,5096,2.63,15,103,29980,Flatbed,2026-06-14,2026-06-19,RXO,800-866-0190
"Austin, TX","Cleveland, OH",656,1443,2.2,25,66,27107,Flatbed,2026-05-22,2026-05-25,Schneider,800-558-6767
"Jacksonville, FL","Denver, CO",2081,3641,1.75,47,78,43585,Step Deck,2026-06-06,2026-06-11,C.H. Robinson,800-323-7587
"Seattle, WA","Birmingham, AL",833,1707,2.05,215,29,17939,Reefer,2026-06-04,2026-06-09,Uber Freight,844-822-8237
"Atlanta, GA","Fargo, ND",1432,2391,1.67,151,154,13665,Reefer,2026-06-14,2026-06-18,Echo Global Logistics,800-354-7993
"Cincinnati, OH","Sacramento, CA",1277,2221,1.74,149,56,11956,Reefer,2026-06-18,2026-06-19,Uber Freight,844-822-8237
"St Louis, MO","Jacksonville, FL",237,860,3.63,98,14,17897,Flatbed,2026-05-20,2026-05-24,XPO Logistics,800-755-2728
"Los Angeles, CA","Knoxville, TN",2033,6729,3.31,190,31,22857,Flatbed,2026-06-06,2026-06-11,JB Hunt,800-452-4868
"Atlanta, GA","Irving, TX",478,774,1.62,34,84,40499,Flatbed,2026-06-04,2026-06-05,Coyote Logistics,877-626-9683
"Grand Rapids, MI","Boise, ID",193,331,1.72,36,38,14740,Flatbed,2026-05-19,2026-05-20,Uber Freight,844-822-8237
"Austin, TX","Denver, CO",2123,3418,1.61,38,100,16991,Dry Van,2026-06-18,2026-06-19,C.H. Robinson,800-323-7587
"Birmingham, AL","Salt Lake City, UT",205,641,3.13,58,135,10900,Reefer,2026-05-31,2026-06-02,C.H. Robinson,800-323-7587
"Tampa, FL","Amarillo, TX",1468,4037,2.75,191,116,21916,Reefer,2026-05-27,2026-05-29,RXO,800-866-0190
"Phoenix, AZ","Fort Lauderdale, FL",1686,4029,2.39,148,72,37604,Step Deck,2026-06-11,2026-06-13,RXO,800-866-0190
"Plano, TX","Atlanta, GA",2520,4914,1.95,83,170,46536,Reefer,2026-06-05,2026-06-08,XPO Logistics,800-755-2728
"Boise, ID","Fort Worth, TX",687,1827,2.66,134,29,43913,Step Deck,2026-06-12,2026-06-15,Landstar,800-872-9400
"Jacksonville, FL","Tucson, AZ",1299,3091,2.38,211,86,40922,Step Deck,2026-06-13,2026-06-14,Schneider,800-558-6767
"Atlanta, GA","Miami, FL",1652,5269,3.19,69,140,20779,Flatbed,2026-06-10,2026-06-12,C.H. Robinson,800-323-7587
"Tulsa, OK","New Orleans, LA",2005,5573,2.78,80,105,36306,Flatbed,2026-05-22,2026-05-24,Coyote Logistics,877-626-9683
"Buffalo, NY","Cincinnati, OH",2432,8925,3.67,99,138,8153,Step Deck,2026-06-03,2026-06-05,JB Hunt,800-452-4868
"San Diego, CA","Fort Lauderdale, FL",210,575,2.74,124,32,15206,Dry Van,2026-06-18,2026-06-19,Echo Global Logistics,800-354-7993
"Oklahoma City, OK","Austin, TX",1322,3146,2.38,69,167,25078,Flatbed,2026-05-31,2026-06-01,Schneider,800-558-6767
"Las Vegas, NV","Chicago, IL",991,1763,1.78,6,20,19136,Step Deck,2026-05-26,2026-05-31,TQL,800-580-3101
"St Louis, MO","Irving, TX",501,856,1.71,60,71,46068,Dry Van,2026-06-12,2026-06-15,JB Hunt,800-452-4868
"Los Angeles, CA","Savannah, GA",908,2542,2.8,96,38,30585,Flatbed,2026-05-29,2026-06-03,Landstar,800-872-9400
"Fort Lauderdale, FL","Tampa, FL",294,667,2.27,193,163,29806,Step Deck,2026-05-28,2026-05-31,RXO,800-866-0190
"Fort Lauderdale, FL","Seattle, WA",1053,2643,2.51,9,170,32717,Dry Van,2026-06-09,2026-06-13,JB Hunt,800-452-4868
"Tacoma, WA","Jacksonville, FL",699,2292,3.28,110,145,36876,Flatbed,2026-06-08,2026-06-09,JB Hunt,800-452-4868
"Detroit, MI","Orlando, FL",889,2391,2.69,48,168,45835,Dry Van,2026-06-03,2026-06-05,Echo Global Logistics,800-354-7993
"Seattle, WA","Cleveland, OH",995,2945,2.96,22,56,27176,Reefer,2026-06-07,2026-06-08,Echo Global Logistics,800-354-7993
"Rockford, IL","Nashville, TN",450,1363,3.03,192,62,30061,Flatbed,2026-06-11,2026-06-15,Schneider,800-558-6767
"Indianapolis, IN","Tacoma, WA",2031,5950,2.93,168,84,18633,Reefer,2026-05-30,2026-05-31,Landstar,800-872-9400
"Savannah, GA","Fresno, CA",2343,5927,2.53,53,1,8515,Reefer,2026-05-26,2026-05-31,Uber Freight,844-822-8237
"Houston, TX","Nashville, TN",2057,5533,2.69,29,155,26613,Step Deck,2026-06-11,2026-06-12,TQL,800-580-3101
"Seattle, WA","Fort Wayne, IN",284,448,1.58,40,113,20711,Flatbed,2026-05-30,2026-06-03,XPO Logistics,800-755-2728
"Las Vegas, NV","Plano, TX",584,1880,3.22,202,132,28082,Reefer,2026-06-11,2026-06-14,Coyote Logistics,877-626-9683
"Fort Lauderdale, FL","Cincinnati, OH",1751,3572,2.04,55,127,46587,Step Deck,2026-05-27,2026-05-29,XPO Logistics,800-755-2728
"Salt Lake City, UT","Springfield, IL",2181,5910,2.71,112,77,46791,Reefer,2026-05-30,2026-06-02,Uber Freight,844-822-8237
"San Antonio, TX","Phoenix, AZ",782,2025,2.59,141,113,25597,Step Deck,2026-06-05,2026-06-10,RXO,800-866-0190
"Detroit, MI","Little Rock, AR",1926,3582,1.86,139,165,37972,Flatbed,2026-05-23,2026-05-25,RXO,800-866-0190
"Philadelphia, PA","Grand Rapids, MI",2247,6201,2.76,181,106,8816,Reefer,2026-05-21,2026-05-26,TQL,800-580-3101
"Detroit, MI","Tacoma, WA",2272,8360,3.68,205,129,20768,Flatbed,2026-05-24,2026-05-28,Uber Freight,844-822-8237
"Knoxville, TN","Spokane, WA",1879,4922,2.62,198,87,26170,Reefer,2026-06-08,2026-06-09,Coyote Logistics,877-626-9683
"Kansas City, MO","Springfield, IL",199,628,3.16,95,106,40248,Flatbed,2026-06-09,2026-06-13,Uber Freight,844-822-8237
"Philadelphia, PA","Salt Lake City, UT",2277,4098,1.8,95,126,43095,Dry Van,2026-06-16,2026-06-19,Echo Global Logistics,800-354-7993
"Las Vegas, NV","Buffalo, NY",1843,6026,3.27,90,80,35955,Reefer,2026-06-13,2026-06-16,Coyote Logistics,877-626-9683
"Fresno, CA","Indianapolis, IN",304,489,1.61,184,142,11813,Step Deck,2026-06-05,2026-06-10,JB Hunt,800-452-4868
"Amarillo, TX","Memphis, TN",2508,7398,2.95,177,133,9396,Reefer,2026-05-27,2026-05-29,TQL,800-580-3101
"Detroit, MI","Arlington, TX",599,1964,3.28,153,28,39542,Step Deck,2026-05-19,2026-05-22,Landstar,800-872-9400
"Las Vegas, NV","Greensboro, NC",395,1335,3.38,8,41,37526,Reefer,2026-05-26,2026-05-29,C.H. Robinson,800-323-7587
"San Antonio, TX","Phoenix, AZ",530,1865,3.52,121,140,20548,Dry Van,2026-06-12,2026-06-15,Coyote Logistics,877-626-9683
"Knoxville, TN","Fargo, ND",477,1063,2.23,215,105,36121,Reefer,2026-05-21,2026-05-26,Echo Global Logistics,800-354-7993
"San Diego, CA","Chicago, IL",411,1048,2.55,207,148,28265,Step Deck,2026-06-18,2026-06-19,TQL,800-580-3101
"Springfield, IL","Fort Lauderdale, FL",1283,2373,1.85,132,151,46155,Step Deck,2026-06-19,2026-06-19,JB Hunt,800-452-4868
"Buffalo, NY","Reno, NV",279,817,2.93,205,168,16642,Step Deck,2026-06-16,2026-06-17,Echo Global Logistics,800-354-7993
"Houston, TX","Austin, TX",316,957,3.03,211,16,29483,Dry Van,2026-05-29,2026-05-30,RXO,800-866-0190
"Arlington, TX","Amarillo, TX",1242,2695,2.17,191,31,12236,Flatbed,2026-05-27,2026-05-30,Uber Freight,844-822-8237
"Charlotte, NC","Las Vegas, NV",1890,3250,1.72,217,110,25582,Flatbed,2026-05-30,2026-06-04,Schneider,800-558-6767
"Plano, TX","Atlanta, GA",1481,3184,2.15,90,71,9111,Dry Van,2026-06-01,2026-06-05,Schneider,800-558-6767
"Savannah, GA","Miami, FL",2269,4742,2.09,7,39,35807,Step Deck,2026-06-14,2026-06-16,XPO Logistics,800-755-2728
"Irving, TX","Las Vegas, NV",901,1829,2.03,21,155,19157,Dry Van,2026-06-13,2026-06-18,C.H. Robinson,800-323-7587
"Tampa, FL","Rockford, IL",2181,4427,2.03,85,162,27711,Step Deck,2026-06-11,2026-06-14,Coyote Logistics,877-626-9683
"Tulsa, OK","Sacramento, CA",1651,4919,2.98,126,6,10448,Step Deck,2026-05-24,2026-05-26,C.H. Robinson,800-323-7587
"Fort Worth, TX","Springfield, IL",1909,5497,2.88,26,69,34183,Dry Van,2026-06-10,2026-06-12,TQL,800-580-3101
"San Diego, CA","Dallas, TX",487,871,1.79,153,94,39709,Reefer,2026-06-17,2026-06-19,TQL,800-580-3101
"Plano, TX","Las Vegas, NV",1590,4611,2.9,118,144,17818,Reefer,2026-05-21,2026-05-23,Schneider,800-558-6767
"Reno, NV","Kansas City, MO",1249,4621,3.7,2,66,17643,Dry Van,2026-05-21,2026-05-23,XPO Logistics,800-755-2728
